Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,1200,0.3,1,1000,8,5,5,1297,1
rep1_FOV1_1,1,1,1200,0.3,1,1050,10,5,3,1214,1
rep1_FOV1_1,1,1,1200,0.3,1,1100,10,3,1,1179,1
rep1_FOV1_1,1,1,1200,0.3,1,1150,8,1,0,1097,1
rep1_FOV1_1,1,1,1200,0.3,1,1200,4,1,0,851,1
rep1_FOV1_1,1,1,1200,0.3,1,1250,2,0,0,630,1
rep1_FOV1_1,1,1,1200,0.3,1,1300,2,0,0,474,1
rep1_FOV1_1,1,1,1200,0.3,1,1350,6,19,16,387,1
rep1_FOV1_1,1,1,1200,0.3,1,1400,16,7,7,726,1
rep1_FOV1_1,1,1,1200,0.3,1,1450,11,1,3,1043,1
rep1_FOV1_1,1,1,1200,0.3,1,1500,8,2,0,985,1
rep1_FOV1_1,1,1,1200,0.3,1,1550,5,1,0,789,1
rep1_FOV1_1,1,1,1200,0.3,1,1600,5,1,0,720,1
rep1_FOV1_1,1,1,1200,0.3,1,1650,5,0,0,653,1
rep1_FOV1_1,1,1,1200,0.3,1,1700,2,0,0,517,1
rep1_FOV1_1,1,1,1200,0.3,1,1750,6,10,9,494,1
rep1_FOV1_1,1,1,1200,0.3,1,1800,8,6,2,586,1
rep1_FOV1_1,1,1,1200,0.3,1,1850,10,0,0,733,1
rep1_FOV1_1,1,1,1200,0.3,1,1900,8,1,0,762,1
rep1_FOV1_1,1,1,1200,0.3,1,1950,5,0,1,695,1
rep1_FOV1_1,1,1,1200,0.3,1,2000,4,1,2,601,1
rep1_FOV1_2,1,1,1200,0.3,2,1000,8,9,27,682,1
rep1_FOV1_2,1,1,1200,0.3,2,1050,12,9,9,753,1
rep1_FOV1_2,1,1,1200,0.3,2,1100,7,9,16,815,1
rep1_FOV1_2,1,1,1200,0.3,2,1150,12,8,11,932,1
rep1_FOV1_2,1,1,1200,0.3,2,1200,13,15,13,1102,1
rep1_FOV1_2,1,1,1200,0.3,2,1250,17,7,8,1238,1
rep1_FOV1_2,1,1,1200,0.3,2,1300,17,7,4,1452,1
rep1_FOV1_2,1,1,1200,0.3,2,1350,12,2,1,1455,1
rep1_FOV1_2,1,1,1200,0.3,2,1400,13,2,27,1353,1
rep1_FOV1_2,1,1,1200,0.3,2,1450,10,9,14,1293,1
rep1_FOV1_2,1,1,1200,0.3,2,1500,10,8,5,1216,1
rep1_FOV1_2,1,1,1200,0.3,2,1550,8,12,6,1035,1
rep1_FOV1_2,1,1,1200,0.3,2,1600,13,7,2,1130,1
rep1_FOV1_2,1,1,1200,0.3,2,1650,8,6,7,1042,1
rep1_FOV1_2,1,1,1200,0.3,2,1700,10,5,6,1028,1
rep1_FOV1_2,1,1,1200,0.3,2,1750,13,9,6,1052,1
rep1_FOV1_2,1,1,1200,0.3,2,1800,16,2,3,1279,1
rep1_FOV1_2,1,1,1200,0.3,2,1850,10,2,4,1303,1
rep1_FOV1_2,1,1,1200,0.3,2,1900,6,1,1,1129,1
rep1_FOV1_2,1,1,1200,0.3,2,1950,5,3,8,901,1
rep1_FOV1_2,1,1,1200,0.3,2,2000,10,2,1,783,1
rep1_FOV1_3,1,1,1200,0.3,3,1000,7,8,6,1282,1
rep1_FOV1_3,1,1,1200,0.3,3,1050,10,7,1,1098,1
rep1_FOV1_3,1,1,1200,0.3,3,1100,10,2,4,1078,1
rep1_FOV1_3,1,1,1200,0.3,3,1150,8,2,0,927,1
rep1_FOV1_3,1,1,1200,0.3,3,1200,6,2,0,843,1
rep1_FOV1_3,1,1,1200,0.3,3,1250,5,1,1,739,1
rep1_FOV1_3,1,1,1200,0.3,3,1300,3,4,4,552,1
rep1_FOV1_3,1,1,1200,0.3,3,1350,3,5,0,450,1
rep1_FOV1_3,1,1,1200,0.3,3,1400,6,6,15,427,1
rep1_FOV1_3,1,1,1200,0.3,3,1450,10,2,6,510,1
rep1_FOV1_3,1,1,1200,0.3,3,1500,8,2,3,656,1
rep1_FOV1_3,1,1,1200,0.3,3,1550,7,1,1,665,1
rep1_FOV1_3,1,1,1200,0.3,3,1600,6,20,27,637,1
rep1_FOV1_3,1,1,1200,0.3,3,1650,18,8,9,893,1
rep1_FOV1_3,1,1,1200,0.3,3,1700,11,7,3,1083,1
rep1_FOV1_3,1,1,1200,0.3,3,1750,13,4,1,1142,1
rep1_FOV1_3,1,1,1200,0.3,3,1800,10,5,7,1125,1
rep1_FOV1_3,1,1,1200,0.3,3,1850,8,2,4,1108,1
rep1_FOV1_3,1,1,1200,0.3,3,1900,8,8,17,986,1
rep1_FOV1_3,1,1,1200,0.3,3,1950,12,8,2,991,1
rep1_FOV1_3,1,1,1200,0.3,3,2000,9,0,2,1010,1
rep1_FOV1_4,1,1,1200,0.3,4,1000,0,2,0,13,1
rep1_FOV1_4,1,1,1200,0.3,4,1050,1,0,3,17,1
rep1_FOV1_4,1,1,1200,0.3,4,1100,1,2,8,58,1
rep1_FOV1_4,1,1,1200,0.3,4,1150,10,13,30,248,1
rep1_FOV1_4,1,1,1200,0.3,4,1200,25,14,19,744,1
rep1_FOV1_4,1,1,1200,0.3,4,1250,22,4,8,1460,1
rep1_FOV1_4,1,1,1200,0.3,4,1300,18,2,5,1669,1
rep1_FOV1_4,1,1,1200,0.3,4,1350,13,5,7,1659,1
rep1_FOV1_4,1,1,1200,0.3,4,1400,15,2,3,1596,1
rep1_FOV1_4,1,1,1200,0.3,4,1450,15,11,23,1578,1
rep1_FOV1_4,1,1,1200,0.3,4,1500,17,12,9,1596,1
rep1_FOV1_4,1,1,1200,0.3,4,1550,17,7,2,1671,1
rep1_FOV1_4,1,1,1200,0.3,4,1600,14,2,1,1640,1
rep1_FOV1_4,1,1,1200,0.3,4,1650,14,5,7,1543,1
rep1_FOV1_4,1,1,1200,0.3,4,1700,12,7,15,1499,1
rep1_FOV1_4,1,1,1200,0.3,4,1750,16,11,24,1371,1
rep1_FOV1_4,1,1,1200,0.3,4,1800,17,8,9,1468,1
rep1_FOV1_4,1,1,1200,0.3,4,1850,16,1,3,1527,1
rep1_FOV1_4,1,1,1200,0.3,4,1900,12,3,1,1427,1
rep1_FOV1_4,1,1,1200,0.3,4,1950,12,4,3,1312,1
rep1_FOV1_4,1,1,1200,0.3,4,2000,15,23,24,1254,1
rep1_FOV1_5,1,1,1200,0.3,5,1000,17,14,8,1056,1
rep1_FOV1_5,1,1,1200,0.3,5,1050,29,14,19,1519,1
rep1_FOV1_5,1,1,1200,0.3,5,1100,29,13,17,2047,1
rep1_FOV1_5,1,1,1200,0.3,5,1150,26,9,3,2424,1
rep1_FOV1_5,1,1,1200,0.3,5,1200,22,8,15,2407,1
rep1_FOV1_5,1,1,1200,0.3,5,1250,22,7,4,2322,1
rep1_FOV1_5,1,1,1200,0.3,5,1300,16,6,2,2206,1
rep1_FOV1_5,1,1,1200,0.3,5,1350,12,5,2,1916,1
rep1_FOV1_5,1,1,1200,0.3,5,1400,14,0,1,1696,1
rep1_FOV1_5,1,1,1200,0.3,5,1450,6,1,0,1367,1
rep1_FOV1_5,1,1,1200,0.3,5,1500,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1550,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1600,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1650,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1700,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1750,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1800,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1850,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1900,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,1950,0,0,0,0,0
rep1_FOV1_5,1,1,1200,0.3,5,2000,0,0,0,0,0
rep1_FOV1_6,1,1,1200,0.3,6,1000,7,5,6,672,1
