Cell_id,Rep_Num,FOV_Num,drug_time,drug_concentration,cell_Num,Time,num_rna_cyto,num_rna_nuc,num_rna_nascent,Cyto_Intensity_1,is_cell_vital
rep1_FOV1_1,1,1,Inf,0,1,1000,2,3,8,399,1
rep1_FOV1_1,1,1,Inf,0,1,1050,4,13,8,352,1
rep1_FOV1_1,1,1,Inf,0,1,1100,7,12,1,432,1
rep1_FOV1_1,1,1,Inf,0,1,1150,11,6,2,637,1
rep1_FOV1_1,1,1,Inf,0,1,1200,11,2,1,882,1
rep1_FOV1_1,1,1,Inf,0,1,1250,8,15,19,896,1
rep1_FOV1_1,1,1,Inf,0,1,1300,16,5,10,1070,1
rep1_FOV1_1,1,1,Inf,0,1,1350,16,11,8,1235,1
rep1_FOV1_1,1,1,Inf,0,1,1400,19,4,3,1503,1
rep1_FOV1_1,1,1,Inf,0,1,1450,11,11,5,1476,1
rep1_FOV1_1,1,1,Inf,0,1,1500,10,5,1,1348,1
rep1_FOV1_1,1,1,Inf,0,1,1550,11,1,1,1197,1
rep1_FOV1_1,1,1,Inf,0,1,1600,6,2,0,1000,1
rep1_FOV1_1,1,1,Inf,0,1,1650,2,1,0,798,1
rep1_FOV1_1,1,1,Inf,0,1,1700,0,4,17,473,1
rep1_FOV1_1,1,1,Inf,0,1,1750,6,3,8,459,1
rep1_FOV1_1,1,1,Inf,0,1,1800,7,4,3,618,1
rep1_FOV1_1,1,1,Inf,0,1,1850,6,4,11,639,1
rep1_FOV1_1,1,1,Inf,0,1,1900,9,14,37,701,1
rep1_FOV1_1,1,1,Inf,0,1,1950,17,13,31,966,1
rep1_FOV1_1,1,1,Inf,0,1,2000,27,12,21,1409,1
rep1_FOV1_2,1,1,Inf,0,2,1000,0,0,0,32,1
rep1_FOV1_2,1,1,Inf,0,2,1050,0,0,0,19,1
rep1_FOV1_2,1,1,Inf,0,2,1100,0,0,0,9,1
rep1_FOV1_2,1,1,Inf,0,2,1150,0,0,0,5,1
rep1_FOV1_2,1,1,Inf,0,2,1200,0,0,0,2,1
rep1_FOV1_2,1,1,Inf,0,2,1250,0,0,0,1,1
rep1_FOV1_2,1,1,Inf,0,2,1300,0,0,0,1,1
rep1_FOV1_2,1,1,Inf,0,2,1350,1,0,0,1,1
rep1_FOV1_2,1,1,Inf,0,2,1400,0,0,0,5,1
